outOf5Stars,schoolTitle,totalNumReviews,StarBreakout
4 out of 5 stars,Scripps Elementary School,23,"12,2,0,1,1"
5 out of 5 stars,Creekside Elementary School,17,"9,2,0,0,0"
4 out of 5 stars,Westview High School,38,"13,3,3,5,4"
4 out of 5 stars,Stone Ranch Elementary School,18,"4,2,1,0,1"
4 out of 5 stars,Solana Pacific Elementary School,13,"10,1,0,0,2"
5 out of 5 stars,Canyon Crest Academy,59,"36,1,2,0,4"
4 out of 5 stars,Sycamore Ridge School,17,"8,1,0,0,2"
5 out of 5 stars,Los Penasquitos Elementary School,75,"21,1,1,0,0"
4 out of 5 stars,Silver Gate Elementary School,33,"16,0,0,0,3"
4 out of 5 stars,Sage Canyon School,12,"7,1,0,1,3"
4 out of 5 stars,Miramar Ranch Elementary School,29,"14,4,3,1,3"
4 out of 5 stars,Sessions Elementary School,23,"12,1,2,1,4"
5 out of 5 stars,Sandburg Elementary School,23,"10,0,0,0,1"
4 out of 5 stars,Marvin Elementary School,29,"16,2,2,3,3"
3 out of 5 stars,Scripps Ranch High School,58,"19,5,3,8,8"
4 out of 5 stars,Jerabek Elementary School,67,"17,5,4,6,3"
4 out of 5 stars,Cabrillo Elementary School,28,"10,2,0,3,4"
4 out of 5 stars,Angier Elementary School,14,"7,3,1,1,1"
4 out of 5 stars,Cadman Elementary School,27,"11,0,0,0,3"
3 out of 5 stars,Correia Middle School,43,"8,1,1,4,8"
4 out of 5 stars,Barnard Elementary School,60,"39,5,2,2,3"
5 out of 5 stars,Turtleback Elementary School,14,"9,1,2,0,0"
4 out of 5 stars,Nestor Language Academy Charter,25,"14,1,0,3,4"
5 out of 5 stars,Sunset Hills Elementary School,40,"7,1,2,0,0"
5 out of 5 stars,Solana Ranch Elementary,7,"1,0,0,0,0"
5 out of 5 stars,Sundance Elementary School,14,"11,0,1,0,0"
4 out of 5 stars,Morning Creek Elementary School,39,"18,0,1,2,1"
3 out of 5 stars,Highland Ranch Elementary School,68,"16,2,3,3,8"
4 out of 5 stars,Shoal Creek Elementary School,65,"23,3,1,0,4"
4 out of 5 stars,Finney (Myrtle S.) Elementary School,8,"5,2,0,0,1"
5 out of 5 stars,Willow Grove Elementary School,9,"7,0,0,0,0"
5 out of 5 stars,Ocean Air School,23,"10,1,0,0,0"
3 out of 5 stars,Old Town Academy K-8 Charter,147,"38,5,2,3,22"
4 out of 5 stars,Monterey Ridge Elementary School,42,"21,3,1,1,2"
4 out of 5 stars,San Diego International Studies School,25,"9,2,4,2,1"
5 out of 5 stars,Del Sur Elementary School,47,"32,0,0,0,0"
4 out of 5 stars,Oak Valley Middle School,35,"13,4,1,0,4"
4 out of 5 stars,Magnolia Science Academy San Diego,115,"47,11,2,0,13"
4 out of 5 stars,Torrey Hills School,15,"7,3,1,1,0"
4 out of 5 stars,Tierrasanta Elementary School,28,"9,5,0,2,2"
4 out of 5 stars,University City High School,31,"10,6,1,2,5"
4 out of 5 stars,Carmel Valley Middle School,28,"13,4,4,2,4"
5 out of 5 stars,Sunset View Elementary School,119,"20,2,0,1,1"
4 out of 5 stars,Mt. Everest Academy,88,"23,6,2,1,1"
4 out of 5 stars,Marshall Middle School,29,"12,1,1,2,4"
4 out of 5 stars,Hickman Elementary School,27,"7,3,2,2,2"
4 out of 5 stars,Mira Mesa High School,28,"20,1,2,2,2"
4 out of 5 stars,Challenger Middle School,24,"9,3,3,1,3"
4 out of 5 stars,Chesterton Elementary School,32,"11,2,1,1,2"
3 out of 5 stars,Doyle Elementary School,67,"21,1,11,7,9"
3 out of 5 stars,Patrick Henry High School,40,"8,1,5,6,2"
4 out of 5 stars,Bay Park Elementary School,26,"12,3,2,1,0"
5 out of 5 stars,Birney Elementary School,91,"32,4,2,1,1"
4 out of 5 stars,Torrey Pines High School,42,"17,4,6,3,4"
4 out of 5 stars,Deer Canyon Elementary School,12,"4,3,0,0,1"
5 out of 5 stars,Mt. Carmel High School,31,"15,1,0,1,1"
5 out of 5 stars,Park Village Elementary School,139,"35,2,2,0,1"
3 out of 5 stars,Mesa Verde Middle School,55,"11,1,2,5,6"
4 out of 5 stars,Adobe Bluffs Elementary School,19,"5,1,3,0,2"
4 out of 5 stars,Bernardo Heights Middle School,52,"13,1,3,5,4"
4 out of 5 stars,Canyon View Elementary School,38,"16,2,2,3,4"
4 out of 5 stars,Black Mountain Middle School,31,"11,0,0,2,1"
5 out of 5 stars,Elevate Elementary,21,"5,0,0,1,0"
4 out of 5 stars,Ashley Falls Elementary School,16,"10,1,0,0,2"
4 out of 5 stars,Carmel Del Mar Elementary School,33,"10,6,5,0,6"
4 out of 5 stars,Del Norte High School,24,"6,2,0,1,2"
4 out of 5 stars,Holmes Elementary School,40,"23,4,3,1,1"
5 out of 5 stars,Green Elementary School,37,"14,0,0,2,0"
5 out of 5 stars,Hearst Elementary School,24,"11,5,2,0,0"
4 out of 5 stars,Dingeman Elementary School,20,"7,1,1,0,2"
4 out of 5 stars,Curie Elementary School,46,"13,7,5,0,3"
5 out of 5 stars,Dailard Elementary School,35,"19,7,0,1,0"
4 out of 5 stars,Ericson Elementary School,39,"14,7,3,0,1"
4 out of 5 stars,Benchley/Weinberger Elementary School,42,"18,7,3,3,5"
4 out of 5 stars,Rancho Bernardo High School,44,"16,2,2,0,6"
